0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	0.0_t	0.0_f	0.1_t	0.1_f	0.1_t	0.1_f	0.2_t	0.2_f	0.5_t	0.5_f	1.0_t	1.0_f	2.0_t	2.0_f	3.9_t	3.9_f	7.8_t	7.8_f	15.6_t	15.6_f	31.3_t	31.3_f	62.5_t	62.5_f	125.0_t	125.0_f	250.0_t	250.0_f	500.0_t	500.0_f	
4.47094	5015.6680	4.47094	4805.6360	4.47094	4790.0410	4.47094	4668.4350	4.47094	4752.2430	4.47094	4765.2540	4.47094	4713.8450	4.47094	4733.4020	4.47094	4718.5570	4.47094	4899.4090	4.47094	4367.8220	4.47094	4494.2470	4.47094	4603.8900	4.47094	4706.0340	4.47094	4784.0030	4.47094	5005.7770	4.47094	4810.3480	4.47094	4782.5930	4.47094	4652.4940	4.47094	4749.5780	4.47094	4773.7540	4.47094	4720.2530	4.47094	4729.5240	4.47094	4712.8230	4.47094	4891.4730	4.47094	4341.9180	4.47094	4497.6530	4.47094	4596.1470	4.47094	4700.9230	4.47094	4796.3200	4.47094	5002.6090	4.47094	4808.1220	4.47094	4792.2370	4.47094	4642.0540	4.47094	4758.7010	4.47094	4753.0800	4.47094	4706.8120	4.47094	4729.8490	4.47094	4718.6140	4.47094	4891.9710	4.47094	4353.6190	4.47094	4498.6610	4.47094	4598.0780	4.47094	4713.3240	4.47094	4777.3450	
4.54545	5010.4530	4.54545	4809.3970	4.54545	4795.3160	4.54545	4670.6940	4.54545	4744.8220	4.54545	4760.3190	4.54545	4720.2890	4.54545	4736.4500	4.54545	4708.6360	4.54545	4884.3500	4.54545	4353.0110	4.54545	4487.5980	4.54545	4595.3840	4.54545	4699.8980	4.54545	4791.8140	4.54545	5002.6000	4.54545	4811.2750	4.54545	4791.3910	4.54545	4642.6450	4.54545	4757.8660	4.54545	4768.2370	4.54545	4712.4620	4.54545	4728.0940	4.54545	4711.8930	4.54545	4873.0280	4.54545	4350.3310	4.54545	4492.9560	4.54545	4586.4020	4.54545	4710.3970	4.54545	4786.9530	4.54545	4986.2890	4.54545	4798.4540	4.54545	4802.1140	4.54545	4657.8380	4.54545	4746.7020	4.54545	4747.4800	4.54545	4699.9960	4.54545	4736.7070	4.54545	4717.5820	4.54545	4880.9410	4.54545	4350.9690	4.54545	4494.4140	4.54545	4601.3090	4.54545	4707.9410	4.54545	4789.8530	
4.61997	5006.9600	4.61997	4805.0580	4.61997	4796.6570	4.61997	4663.6820	4.61997	4742.2920	4.61997	4757.7440	4.61997	4719.9990	4.61997	4738.3840	4.61997	4707.5810	4.61997	4894.5040	4.61997	4361.6650	4.61997	4499.7330	4.61997	4596.6270	4.61997	4715.0490	4.61997	4790.6640	4.61997	5005.2880	4.61997	4790.2970	4.61997	4784.9740	4.61997	4653.9430	4.61997	4759.9080	4.61997	4760.0950	4.61997	4714.3430	4.61997	4725.6620	4.61997	4708.1170	4.61997	4889.3240	4.61997	4350.5190	4.61997	4487.7230	4.61997	4596.7160	4.61997	4693.1270	4.61997	4802.5250	4.61997	4998.1860	4.61997	4806.9800	4.61997	4785.2550	4.61997	4665.1840	4.61997	4763.8510	4.61997	4754.7460	4.61997	4714.9120	4.61997	4728.7260	4.61997	4716.9300	4.61997	4893.7170	4.61997	4360.2730	4.61997	4497.4240	4.61997	4589.9450	4.61997	4694.8020	4.61997	4794.2070	
4.69448	5005.2940	4.69448	4815.0900	4.69448	4788.3960	4.69448	4662.3320	4.69448	4749.7420	4.69448	4752.7370	4.69448	4717.0700	4.69448	4740.7180	4.69448	4708.0100	4.69448	4896.2680	4.69448	4358.3120	4.69448	4490.0950	4.69448	4610.5920	4.69448	4697.4630	4.69448	4799.3180	4.69448	5010.0620	4.69448	4808.1700	4.69448	4782.6200	4.69448	4654.9590	4.69448	4756.8320	4.69448	4753.1070	4.69448	4710.0130	4.69448	4726.5170	4.69448	4710.4780	4.69448	4883.1880	4.69448	4352.8230	4.69448	4498.7380	4.69448	4579.8600	4.69448	4704.5260	4.69448	4806.2620	4.69448	5013.7670	4.69448	4803.7830	4.69448	4778.6860	4.69448	4666.7430	4.69448	4751.4080	4.69448	4758.8380	4.69448	4710.0370	4.69448	4717.5820	4.69448	4699.2060	4.69448	4882.8210	4.69448	4351.7860	4.69448	4487.5140	4.69448	4591.3850	4.69448	4707.1810	4.69448	4790.4100	
4.76900	5005.0410	4.76900	4796.0040	4.76900	4786.4740	4.76900	4660.0610	4.76900	4764.9170	4.76900	4760.2150	4.76900	4716.1280	4.76900	4732.3610	4.76900	4713.8990	4.76900	4892.2060	4.76900	4370.9430	4.76900	4486.8890	4.76900	4595.2830	4.76900	4705.8020	4.76900	4792.5920	4.76900	4993.5400	4.76900	4804.7390	4.76900	4792.6280	4.76900	4660.5740	4.76900	4755.8280	4.76900	4752.2010	4.76900	4711.7080	4.76900	4728.4250	4.76900	4703.7390	4.76900	4888.2750	4.76900	4344.8690	4.76900	4498.0170	4.76900	4593.5420	4.76900	4713.8960	4.76900	4789.2390	4.76900	5010.1310	4.76900	4806.7060	4.76900	4775.0620	4.76900	4656.7410	4.76900	4766.4550	4.76900	4753.6970	4.76900	4719.8980	4.76900	4734.9360	4.76900	4702.0020	4.76900	4883.7100	4.76900	4354.7450	4.76900	4511.6160	4.76900	4594.8120	4.76900	4699.6330	4.76900	4793.9060	
4.84351	4998.6750	4.84351	4801.8570	4.84351	4797.9090	4.84351	4667.4700	4.84351	4740.9740	4.84351	4764.9590	4.84351	4721.8260	4.84351	4731.1660	4.84351	4713.8450	4.84351	4891.6850	4.84351	4348.3170	4.84351	4498.1150	4.84351	4609.6650	4.84351	4713.8480	4.84351	4795.8250	4.84351	4993.8110	4.84351	4811.7490	4.84351	4778.0780	4.84351	4651.9550	4.84351	4750.6270	4.84351	4767.4210	4.84351	4698.8550	4.84351	4726.3710	4.84351	4713.7680	4.84351	4883.5160	4.84351	4347.5300	4.84351	4494.2800	4.84351	4593.3070	4.84351	4699.2270	4.84351	4797.2020	4.84351	4995.8710	4.84351	4789.9280	4.84351	4786.3840	4.84351	4662.3260	4.84351	4747.4320	4.84351	4754.5250	4.84351	4721.7370	4.84351	4725.7300	4.84351	4725.5250	4.84351	4881.2600	4.84351	4357.8390	4.84351	4481.7300	4.84351	4593.0620	4.84351	4696.5300	4.84351	4797.0650	
4.91803	5009.0550	4.91803	4804.7810	4.91803	4813.4740	4.91803	4656.6900	4.91803	4759.5260	4.91803	4746.8250	4.91803	4708.6030	4.91803	4753.2740	4.91803	4710.2930	4.91803	4896.6050	4.91803	4361.7160	4.91803	4489.3230	4.91803	4587.4600	4.91803	4724.0440	4.91803	4796.8950	4.91803	5003.5330	4.91803	4807.8570	4.91803	4784.2290	4.91803	4648.7210	4.91803	4752.5700	4.91803	4748.0970	4.91803	4700.7350	4.91803	4715.6420	4.91803	4712.6170	4.91803	4892.9690	4.91803	4354.5510	4.91803	4491.6600	4.91803	4589.9180	4.91803	4711.1300	4.91803	4781.9550	4.91803	4996.0230	4.91803	4809.3410	4.91803	4779.1300	4.91803	4661.2980	4.91803	4759.1750	4.91803	4769.0240	4.91803	4724.4910	4.91803	4730.1230	4.91803	4722.8780	4.91803	4893.5890	4.91803	4354.6740	4.91803	4498.6720	4.91803	4583.2840	4.91803	4705.4710	4.91803	4792.3300	
4.99255	5017.8890	4.99255	4801.7260	4.99255	4798.3050	4.99255	4662.4930	4.99255	4749.0840	4.99255	4761.0460	4.99255	4714.6380	4.99255	4733.3150	4.99255	4718.3420	4.99255	4895.5170	4.99255	4357.1080	4.99255	4494.1310	4.99255	4593.4770	4.99255	4699.5400	4.99255	4790.7050	4.99255	4999.5030	4.99255	4805.7680	4.99255	4780.2450	4.99255	4649.9100	4.99255	4760.0420	4.99255	4769.3340	4.99255	4706.3650	4.99255	4713.4010	4.99255	4721.4450	4.99255	4890.4720	4.99255	4352.2270	4.99255	4491.1320	4.99255	4592.3620	4.99255	4706.6660	4.99255	4791.3070	4.99255	4993.1970	4.99255	4817.3990	4.99255	4787.6000	4.99255	4659.9780	4.99255	4763.4750	4.99255	4768.3090	4.99255	4709.7740	4.99255	4725.3070	4.99255	4706.2100	4.99255	4888.6480	4.99255	4342.2820	4.99255	4499.4440	4.99255	4596.5490	4.99255	4711.1120	4.99255	4796.0460	
5.06706	5002.3350	5.06706	4812.5150	5.06706	4798.2390	5.06706	4666.7190	5.06706	4763.1410	5.06706	4763.9850	5.06706	4710.6920	5.06706	4726.7760	5.06706	4714.0060	5.06706	4888.4090	5.06706	4362.1510	5.06706	4484.8890	5.06706	4585.6800	5.06706	4693.7200	5.06706	4791.7570	5.06706	5009.3380	5.06706	4812.6070	5.06706	4778.3700	5.06706	4660.1210	5.06706	4749.3130	5.06706	4752.5260	5.06706	4710.6500	5.06706	4720.3180	5.06706	4719.1470	5.06706	4882.5800	5.06706	4353.3470	5.06706	4493.3530	5.06706	4587.3370	5.06706	4711.4820	5.06706	4794.0640	5.06706	5008.5310	5.06706	4803.4430	5.06706	4780.0960	5.06706	4658.6420	5.06706	4758.7420	5.06706	4752.0580	5.06706	4717.2610	5.06706	4714.1790	5.06706	4723.4920	5.06706	4894.6830	5.06706	4347.2080	5.06706	4476.1360	5.06706	4594.3140	5.06706	4706.4930	5.06706	4797.1700	
5.14158	5003.5950	5.14158	4800.0370	5.14158	4786.6760	5.14158	4658.8600	5.14158	4755.3090	5.14158	4755.4610	5.14158	4716.7420	5.14158	4729.3570	5.14158	4714.1790	5.14158	4887.7540	5.14158	4363.6830	5.14158	4485.3360	5.14158	4588.3770	5.14158	4702.3180	5.14158	4785.3380	5.14158	4997.1340	5.14158	4798.9430	5.14158	4785.2700	5.14158	4654.4580	5.14158	4748.5590	5.14158	4761.2070	5.14158	4720.7060	5.14158	4714.5900	5.14158	4699.4360	5.14158	4884.8300	5.14158	4344.8420	5.14158	4500.6280	5.14158	4596.0340	5.14158	4690.7540	5.14158	4795.9300	5.14158	4998.8750	5.14158	4813.6440	5.14158	4789.2720	5.14158	4655.9510	5.14158	4759.2730	5.14158	4747.3310	5.14158	4704.3380	5.14158	4712.5190	5.14158	4706.0160	5.14158	4887.0150	5.14158	4354.2330	5.14158	4497.2870	5.14158	4588.8720	5.14158	4701.2030	5.14158	4803.8420	
5.21609	5006.3730	5.21609	4799.7530	5.21609	4792.2850	5.21609	4657.2720	5.21609	4760.8760	5.21609	4755.2940	5.21609	4729.9390	5.21609	4724.9320	5.21609	4724.9140	5.21609	4892.2090	5.21609	4363.6380	5.21609	4500.1360	5.21609	4596.7370	5.21609	4702.1840	5.21609	4792.8150	5.21609	5010.7240	5.21609	4806.7330	5.21609	4786.7000	5.21609	4653.1200	5.21609	4757.1840	5.21609	4775.4050	5.21609	4710.2480	5.21609	4717.6270	5.21609	4703.8640	5.21609	4885.5540	5.21609	4357.2040	5.21609	4487.8600	5.21609	4597.1390	5.21609	4709.1600	5.21609	4779.8070	5.21609	4986.6940	5.21609	4814.6720	5.21609	4792.0790	5.21609	4661.2800	5.21609	4767.2420	5.21609	4762.6970	5.21609	4711.4640	5.21609	4735.6100	5.21609	4719.7280	5.21609	4888.8150	5.21609	4346.0760	5.21609	4503.3220	5.21609	4601.4100	5.21609	4694.6700	5.21609	4777.1540	
5.29061	5008.4920	5.29061	4803.5590	5.29061	4792.1390	5.29061	4660.7200	5.29061	4753.6850	5.29061	4754.2040	5.29061	4719.0760	5.29061	4728.9100	5.29061	4709.7270	5.29061	4888.5430	5.29061	4362.9530	5.29061	4488.1430	5.29061	4592.0550	5.29061	4708.6330	5.29061	4788.2710	5.29061	5002.7190	5.29061	4807.3110	5.29061	4792.0550	5.29061	4654.5240	5.29061	4745.0720	5.29061	4747.9450	5.29061	4726.0400	5.29061	4727.5660	5.29061	4714.9300	5.29061	4884.3920	5.29061	4351.1480	5.29061	4499.2630	5.29061	4589.8050	5.29061	4702.8690	5.29061	4790.4940	5.29061	4999.8820	5.29061	4810.9320	5.29061	4774.8830	5.29061	4644.6830	5.29061	4758.2690	5.29061	4763.7970	5.29061	4722.4340	5.29061	4716.3750	5.29061	4701.5340	5.29061	4889.0080	5.29061	4349.9440	5.29061	4506.6450	5.29061	4607.9250	5.29061	4698.2710	5.29061	4791.7540	
5.36512	4990.9860	5.36512	4806.8200	5.36512	4801.8160	5.36512	4653.3730	5.36512	4753.2860	5.36512	4771.0120	5.36512	4717.2870	5.36512	4724.8990	5.36512	4697.5400	5.36512	4905.7690	5.36512	4365.7660	5.36512	4487.2340	5.36512	4596.9130	5.36512	4710.0370	5.36512	4787.2160	5.36512	5010.0710	5.36512	4810.7330	5.36512	4791.3820	5.36512	4654.7260	5.36512	4746.8570	5.36512	4761.8630	5.36512	4714.7180	5.36512	4730.0910	5.36512	4712.4620	5.36512	4890.5610	5.36512	4352.4740	5.36512	4505.6370	5.36512	4607.0670	5.36512	4708.6060	5.36512	4795.2470	5.36512	4996.2820	5.36512	4790.5090	5.36512	4789.7930	5.36512	4654.7950	5.36512	4763.7460	5.36512	4751.5300	5.36512	4713.2880	5.36512	4730.0850	5.36512	4710.2900	5.36512	4871.7830	5.36512	4346.6510	5.36512	4504.2040	5.36512	4586.8780	5.36512	4710.9190	5.36512	4796.3440	
5.43964	5007.9200	5.43964	4819.8460	5.43964	4801.5240	5.43964	4675.2480	5.43964	4762.1940	5.43964	4764.4670	5.43964	4719.2360	5.43964	4719.4660	5.43964	4703.3010	5.43964	4891.9740	5.43964	4364.7320	5.43964	4498.3120	5.43964	4591.2500	5.43964	4703.5600	5.43964	4795.5690	5.43964	4996.1060	5.43964	4815.0720	5.43964	4791.0450	5.43964	4660.0850	5.43964	4758.7810	5.43964	4759.2790	5.43964	4720.9110	5.43964	4723.3490	5.43964	4705.1400	5.43964	4880.6070	5.43964	4337.2690	5.43964	4495.8080	5.43964	4592.6150	5.43964	4709.1750	5.43964	4791.5430	5.43964	4996.9350	5.43964	4804.0540	5.43964	4788.1810	5.43964	4663.0680	5.43964	4767.9570	5.43964	4762.4830	5.43964	4714.7660	5.43964	4727.9890	5.43964	4710.6210	5.43964	4875.4250	5.43964	4346.5290	5.43964	4500.8690	5.43964	4588.0020	5.43964	4704.9020	5.43964	4779.0620	
5.51415	5007.8060	5.51415	4793.5400	5.51415	4782.9270	5.51415	4657.9090	5.51415	4766.8640	5.51415	4753.9470	5.51415	4712.0870	5.51415	4722.4850	5.51415	4714.5610	5.51415	4900.0470	5.51415	4364.3210	5.51415	4493.0700	5.51415	4590.6630	5.51415	4708.6860	5.51415	4804.7690	5.51415	4999.7570	5.51415	4802.8620	5.51415	4775.5060	5.51415	4656.8540	5.51415	4766.5630	5.51415	4768.2940	5.51415	4714.7780	5.51415	4733.3390	5.51415	4704.3500	5.51415	4890.3050	5.51415	4354.0510	5.51415	4484.4660	5.51415	4608.8990	5.51415	4706.0250	5.51415	4788.3300	5.51415	4995.7160	5.51415	4806.4920	5.51415	4792.3480	5.51415	4661.5030	5.51415	4761.6360	5.51415	4769.7420	5.51415	4730.5850	5.51415	4731.3540	5.51415	4714.0420	5.51415	4887.9470	5.51415	4354.1010	5.51415	4498.5230	5.51415	4582.5900	5.51415	4707.5930	5.51415	4792.3860	
5.58867	4978.7460	5.58867	4798.4120	5.58867	4798.5050	5.58867	4655.2720	5.58867	4753.9770	5.58867	4754.6540	5.58867	4683.3870	5.58867	4725.9030	5.58867	4715.3860	5.58867	4859.0090	5.58867	4356.9120	5.58867	4460.0550	5.58867	4550.2570	5.58867	4667.9560	5.58867	4794.9460	5.58867	4999.7840	5.58867	4771.2060	5.58867	4789.0810	5.58867	4648.7960	5.58867	4739.4930	5.58867	4760.6440	5.58867	4712.3100	5.58867	4729.1070	5.58867	4714.3700	5.58867	4889.5930	5.58867	4349.3420	5.58867	4500.8150	5.58867	4556.8790	5.58867	4668.7010	5.58867	4738.4470	5.58867	4960.1550	5.58867	4771.2480	5.58867	4771.7690	5.58867	4651.1950	5.58867	4765.1410	5.58867	4728.1410	5.58867	4713.1480	5.58867	4716.5510	5.58867	4707.9290	5.58867	4889.4970	5.58867	4345.0890	5.58867	4511.2640	5.58867	4590.1210	5.58867	4708.3110	5.58867	4772.1980	
5.66319	4949.8230	5.66319	4768.9740	5.66319	4746.0440	5.66319	4610.8250	5.66319	4718.0440	5.66319	4733.5890	5.66319	4655.8290	5.66319	4682.7440	5.66319	4678.1810	5.66319	4826.8530	5.66319	4328.2030	5.66319	4424.0560	5.66319	4518.6790	5.66319	4638.0280	5.66319	4751.5540	5.66319	4972.6190	5.66319	4740.7330	5.66319	4753.8400	5.66319	4629.1080	5.66319	4724.9730	5.66319	4714.2980	5.66319	4679.9330	5.66319	4679.1290	5.66319	4661.2920	5.66319	4844.2570	5.66319	4299.1070	5.66319	4452.9110	5.66319	4508.6120	5.66319	4637.6320	5.66319	4719.6690	5.66319	4932.9220	5.66319	4747.9330	5.66319	4754.1860	5.66319	4616.8510	5.66319	4726.7710	5.66319	4708.1350	5.66319	4671.2700	5.66319	4668.7280	5.66319	4658.8750	5.66319	4834.5330	5.66319	4309.2490	5.66319	4451.8920	5.66319	4547.4530	5.66319	4665.5150	5.66319	4741.6030	
5.73770	4914.7400	5.73770	4742.0200	5.73770	4721.1950	5.73770	4587.2180	5.73770	4688.0690	5.73770	4690.1460	5.73770	4632.9200	5.73770	4650.3420	5.73770	4655.8290	5.73770	4792.6460	5.73770	4292.6310	5.73770	4410.9140	5.73770	4500.0970	5.73770	4621.9020	5.73770	4701.4890	5.73770	4929.0930	5.73770	4728.8150	5.73770	4715.8300	5.73770	4591.8610	5.73770	4698.9650	5.73770	4696.9950	5.73770	4650.6230	5.73770	4653.6740	5.73770	4647.9280	5.73770	4811.3550	5.73770	4282.2150	5.73770	4425.4120	5.73770	4499.5220	5.73770	4615.1370	5.73770	4696.3070	5.73770	4899.3080	5.73770	4724.3450	5.73770	4731.3750	5.73770	4610.0910	5.73770	4700.3720	5.73770	4684.1030	5.73770	4639.5690	5.73770	4652.4820	5.73770	4638.0310	5.73770	4809.8270	5.73770	4284.3730	5.73770	4416.2270	5.73770	4517.0190	5.73770	4634.7530	5.73770	4718.2260	
5.81222	4906.9580	5.81222	4731.7920	5.81222	4705.1880	5.81222	4577.4700	5.81222	4677.2960	5.81222	4677.1820	5.81222	4625.6070	5.81222	4642.8020	5.81222	4621.6250	5.81222	4779.9770	5.81222	4285.6840	5.81222	4413.1520	5.81222	4493.9610	5.81222	4595.3330	5.81222	4695.4750	5.81222	4910.4660	5.81222	4706.1830	5.81222	4710.7960	5.81222	4573.0410	5.81222	4677.7610	5.81222	4676.1720	5.81222	4636.6870	5.81222	4647.3230	5.81222	4631.9930	5.81222	4785.6690	5.81222	4268.9410	5.81222	4419.8130	5.81222	4483.5950	5.81222	4596.9780	5.81222	4682.8570	5.81222	4905.5840	5.81222	4704.9370	5.81222	4700.8400	5.81222	4571.5030	5.81222	4686.9040	5.81222	4668.4410	5.81222	4631.5850	5.81222	4647.0580	5.81222	4632.5060	5.81222	4793.5810	5.81222	4263.0340	5.81222	4416.2390	5.81222	4507.5360	5.81222	4611.5070	5.81222	4694.0390	
5.88673	4899.8770	5.88673	4709.6970	5.88673	4694.7990	5.88673	4559.7610	5.88673	4658.2160	5.88673	4654.9470	5.88673	4610.4340	5.88673	4631.7100	5.88673	4615.3750	5.88673	4777.3150	5.88673	4255.2530	5.88673	4395.2580	5.88673	4475.4240	5.88673	4588.1810	5.88673	4674.1100	5.88673	4902.2050	5.88673	4704.3950	5.88673	4690.9060	5.88673	4569.0300	5.88673	4666.3140	5.88673	4656.5380	5.88673	4617.7980	5.88673	4626.8640	5.88673	4612.6220	5.88673	4783.7140	5.88673	4261.5380	5.88673	4400.5810	5.88673	4467.4990	5.88673	4593.7330	5.88673	4672.1460	5.88673	4883.7690	5.88673	4698.9800	5.88673	4698.5890	5.88673	4582.1460	5.88673	4675.5550	5.88673	4655.5460	5.88673	4618.6330	5.88673	4627.7280	5.88673	4603.5680	5.88673	4771.2000	5.88673	4248.0260	5.88673	4390.4220	5.88673	4487.4100	5.88673	4599.4340	5.88673	4685.8400	
5.96125	4894.0120	5.96125	4704.0460	5.96125	4689.1060	5.96125	4547.1220	5.96125	4650.7090	5.96125	4666.9420	5.96125	4605.6900	5.96125	4613.9330	5.96125	4602.0420	5.96125	4752.6240	5.96125	4257.9350	5.96125	4376.7750	5.96125	4467.4660	5.96125	4565.2270	5.96125	4659.6050	5.96125	4893.6100	5.96125	4706.2310	5.96125	4681.9870	5.96125	4552.0220	5.96125	4650.0240	5.96125	4660.8840	5.96125	4613.1910	5.96125	4617.8970	5.96125	4598.8800	5.96125	4780.2570	5.96125	4247.7370	5.96125	4383.5310	5.96125	4470.8160	5.96125	4578.4380	5.96125	4667.9910	5.96125	4867.2880	5.96125	4703.1040	5.96125	4686.8120	5.96125	4572.9400	5.96125	4657.8970	5.96125	4642.9990	5.96125	4614.2460	5.96125	4603.8540	5.96125	4594.6480	5.96125	4771.0870	5.96125	4249.5580	5.96125	4388.7470	5.96125	4470.4560	5.96125	4591.6440	5.96125	4660.1500	
6.03576	4875.8270	6.03576	4702.6010	6.03576	4663.9560	6.03576	4539.1380	6.03576	4644.5700	6.03576	4650.8160	6.03576	4594.1320	6.03576	4618.3760	6.03576	4595.9140	6.03576	4752.2040	6.03576	4245.1230	6.03576	4358.5750	6.03576	4456.4570	6.03576	4559.3560	6.03576	4647.1330	6.03576	4880.5800	6.03576	4693.6040	6.03576	4677.5490	6.03576	4553.5710	6.03576	4640.3740	6.03576	4639.2440	6.03576	4590.8990	6.03576	4605.5790	6.03576	4585.3260	6.03576	4757.1660	6.03576	4232.4960	6.03576	4375.4610	6.03576	4457.5870	6.03576	4570.8180	6.03576	4649.3320	6.03576	4882.7380	6.03576	4674.5000	6.03576	4667.5710	6.03576	4562.2940	6.03576	4647.6420	6.03576	4640.6810	6.03576	4599.1960	6.03576	4601.6930	6.03576	4593.7390	6.03576	4761.7140	6.03576	4227.0450	6.03576	4374.1580	6.03576	4466.4950	6.03576	4581.2760	6.03576	4656.6190	
6.11028	4872.0540	6.11028	4686.8210	6.11028	4668.7130	6.11028	4554.5700	6.11028	4627.3260	6.11028	4638.8090	6.11028	4594.2600	6.11028	4601.8150	6.11028	4577.7380	6.11028	4749.5720	6.11028	4242.7720	6.11028	4370.4900	6.11028	4456.0670	6.11028	4564.9230	6.11028	4645.3710	6.11028	4875.8240	6.11028	4684.4990	6.11028	4662.1380	6.11028	4533.4730	6.11028	4629.1920	6.11028	4630.9650	6.11028	4588.7740	6.11028	4597.6730	6.11028	4585.4060	6.11028	4764.3450	6.11028	4232.9130	6.11028	4367.4110	6.11028	4449.5310	6.11028	4559.9610	6.11028	4635.1400	6.11028	4861.3730	6.11028	4686.1860	6.11028	4659.0330	6.11028	4539.8240	6.11028	4646.9690	6.11028	4629.8710	6.11028	4597.3330	6.11028	4588.0940	6.11028	4583.8920	6.11028	4755.0020	6.11028	4228.2280	6.11028	4358.9090	6.11028	4440.2480	6.11028	4561.3940	6.11028	4644.8770	
6.18479	4859.0420	6.18479	4681.5570	6.18479	4654.2110	6.18479	4531.5920	6.18479	4621.7110	6.18479	4624.5190	6.18479	4585.1260	6.18479	4590.1000	6.18479	4577.5180	6.18479	4732.6360	6.18479	4232.5260	6.18479	4357.6420	6.18479	4453.9990	6.18479	4554.5850	6.18479	4643.5270	6.18479	4859.8770	6.18479	4678.8360	6.18479	4663.0320	6.18479	4521.1460	6.18479	4616.6180	6.18479	4615.3010	6.18479	4590.8510	6.18479	4589.0030	6.18479	4572.4840	6.18479	4738.9690	6.18479	4231.2090	6.18479	4362.9050	6.18479	4434.9520	6.18479	4551.2940	6.18479	4628.1040	6.18479	4848.2060	6.18479	4671.5080	6.18479	4657.3040	6.18479	4526.6330	6.18479	4634.1060	6.18479	4635.0090	6.18479	4597.0590	6.18479	4591.6890	6.18479	4579.8870	6.18479	4732.4060	6.18479	4215.7530	6.18479	4367.3520	6.18479	4455.5070	6.18479	4561.5260	6.18479	4639.7480	
6.25931	4852.6970	6.25931	4667.4130	6.25931	4660.5650	6.25931	4534.0750	6.25931	4621.6520	6.25931	4613.5220	6.25931	4579.9200	6.25931	4575.1040	6.25931	4569.7810	6.25931	4730.2450	6.25931	4222.0920	6.25931	4349.8640	6.25931	4441.4700	6.25931	4559.1620	6.25931	4625.0730	6.25931	4856.4460	6.25931	4665.7830	6.25931	4646.7390	6.25931	4516.9030	6.25931	4627.5290	6.25931	4621.2200	6.25931	4584.7030	6.25931	4582.0330	6.25931	4575.9530	6.25931	4725.3220	6.25931	4216.8230	6.25931	4356.6350	6.25931	4434.6510	6.25931	4556.4950	6.25931	4617.2650	6.25931	4846.9070	6.25931	4661.3100	6.25931	4653.7700	6.25931	4528.3620	6.25931	4625.8630	6.25931	4619.2800	6.25931	4585.7460	6.25931	4585.2090	6.25931	4571.7570	6.25931	4736.0660	6.25931	4224.3390	6.25931	4349.8400	6.25931	4440.7220	6.25931	4544.2400	6.25931	4627.1650	
6.33383	4843.8460	6.33383	4660.7880	6.33383	4649.7700	6.33383	4517.5790	6.33383	4611.1290	6.33383	4611.5310	6.33383	4556.2390	6.33383	4580.9720	6.33383	4565.9240	6.33383	4729.4230	6.33383	4220.1010	6.33383	4339.2240	6.33383	4432.1060	6.33383	4545.7600	6.33383	4616.4630	6.33383	4854.8040	6.33383	4660.7020	6.33383	4652.7830	6.33383	4509.3180	6.33383	4619.6340	6.33383	4617.8220	6.33383	4566.2790	6.33383	4575.1750	6.33383	4570.6030	6.33383	4732.5460	6.33383	4211.0030	6.33383	4356.5930	6.33383	4415.8400	6.33383	4543.6470	6.33383	4624.3250	6.33383	4845.0320	6.33383	4659.3640	6.33383	4637.0770	6.33383	4526.1470	6.33383	4624.5370	6.33383	4606.8040	6.33383	4576.8200	6.33383	4571.8310	6.33383	4564.9080	6.33383	4718.9000	6.33383	4211.5960	6.33383	4349.8160	6.33383	4421.8600	6.33383	4547.1700	6.33383	4620.7730	
6.40834	4845.5240	6.40834	4662.1590	6.40834	4638.7340	6.40834	4499.9420	6.40834	4608.3180	6.40834	4612.9880	6.40834	4562.3120	6.40834	4578.4320	6.40834	4561.6000	6.40834	4714.8260	6.40834	4211.9830	6.40834	4334.8040	6.40834	4407.8080	6.40834	4525.8130	6.40834	4611.3610	6.40834	4837.6170	6.40834	4653.7580	6.40834	4634.5620	6.40834	4514.8610	6.40834	4602.1370	6.40834	4616.9910	6.40834	4561.2370	6.40834	4562.5060	6.40834	4553.3810	6.40834	4718.2860	6.40834	4204.2320	6.40834	4342.8690	6.40834	4413.3310	6.40834	4538.3040	6.40834	4605.6720	6.40834	4826.7100	6.40834	4656.6280	6.40834	4636.4780	6.40834	4514.1990	6.40834	4618.3020	6.40834	4607.8680	6.40834	4567.5900	6.40834	4566.2370	6.40834	4566.8270	6.40834	4720.1250	6.40834	4184.4820	6.40834	4343.6560	6.40834	4429.3460	6.40834	4538.1610	6.40834	4618.3910	
