0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
30.17882	1868.8140	30.17882	1868.7810	30.17882	1864.9040	
30.25333	1873.8270	30.25333	1862.2130	30.25333	1867.0530	
30.32785	1869.6010	30.32785	1866.4870	30.32785	1859.3490	
30.40236	1871.1980	30.40236	1870.0540	30.40236	1861.1430	
30.47688	1869.6550	30.47688	1870.4060	30.47688	1864.8830	
30.55140	1870.3820	30.55140	1860.1510	30.55140	1873.3920	
30.62591	1883.6710	30.62591	1869.4790	30.62591	1885.0210	
30.70043	1897.7490	30.70043	1887.2950	30.70043	1893.4010	
30.77494	1898.5720	30.77494	1895.0700	30.77494	1897.2370	
30.84946	1906.8120	30.84946	1905.8530	30.84946	1913.4670	
30.92397	1912.1680	30.92397	1903.3670	30.92397	1908.1150	
30.99849	1913.1210	30.99849	1909.8100	30.99849	1912.6590	
31.07301	1924.6520	31.07301	1915.8150	31.07301	1912.7250	
31.14752	1925.2570	31.14752	1916.3700	31.14752	1921.3470	
31.22204	1917.0170	31.22204	1917.4610	31.22204	1925.4600	
31.29655	1917.9400	31.29655	1917.6100	31.29655	1927.1730	
31.37107	1926.6550	31.37107	1923.8650	31.37107	1923.8500	
31.44558	1932.8300	31.44558	1925.4620	31.44558	1916.4090	
31.52010	1936.9130	31.52010	1924.3150	31.52010	1922.5750	
31.59461	1937.3390	31.59461	1936.7310	31.59461	1930.6210	
31.66913	1938.5930	31.66913	1938.6530	31.66913	1931.5570	
31.74365	1941.3530	31.74365	1930.6090	31.74365	1936.3850	
31.81816	1941.5530	31.81816	1937.7800	31.81816	1937.1150	
31.89268	1943.5170	31.89268	1938.9720	31.89268	1946.7150	
31.96719	1946.6340	31.96719	1942.5960	31.96719	1939.5860	
32.04171	1944.4850	32.04171	1944.3450	32.04171	1944.7120	
32.11622	1953.2080	32.11622	1948.6990	32.11622	1945.3940	
32.19074	1949.2810	32.19074	1950.3000	32.19074	1944.3040	
32.26525	1949.8800	32.26525	1951.0210	32.26525	1941.3170	
32.33977	1957.9920	32.33977	1955.0680	32.33977	1945.6420	
32.41429	1954.7790	32.41429	1960.6440	32.41429	1946.5600	
32.48880	1956.8770	32.48880	1955.7800	32.48880	1947.6350	
32.56332	1963.1890	32.56332	1951.2650	32.56332	1956.7880	
32.63783	1959.9650	32.63783	1955.9920	32.63783	1954.4330	
32.71235	1959.2850	32.71235	1953.5360	32.71235	1959.8340	
32.78686	1958.3280	32.78686	1958.4480	32.78686	1966.7980	
32.86138	1962.8020	32.86138	1955.0230	32.86138	1957.7150	
32.93590	1969.3760	32.93590	1965.3560	32.93590	1961.2100	
33.01041	1964.3960	33.01041	1956.8120	33.01041	1960.9510	
33.08493	1960.4740	33.08493	1968.2970	33.08493	1962.5400	
33.15944	1970.9230	33.15944	1961.8300	33.15944	1964.0060	
33.23396	1967.6450	33.23396	1972.2220	33.23396	1962.3970	
33.30847	1967.1200	33.30847	1964.9860	33.30847	1961.0550	
33.38299	1974.8210	33.38299	1970.9140	33.38299	1964.4200	
33.45750	1968.6730	33.45750	1972.5260	33.45750	1964.7420	
33.53202	1971.0270	33.53202	1970.6430	33.53202	1965.7790	
33.60654	1964.5210	33.60654	1971.9120	33.60654	1975.2950	
33.68105	1973.3730	33.68105	1974.7260	33.68105	1977.1720	
33.75557	1976.5080	33.75557	1973.3430	33.75557	1975.1790	
33.83008	1977.7770	33.83008	1971.0420	33.83008	1972.7500	
33.90460	1978.0130	33.90460	1975.9330	33.90460	1985.2820	
33.97911	1978.7070	33.97911	1972.3530	33.97911	1979.8430	
34.05363	1976.8150	34.05363	1971.0180	34.05363	1978.8560	
34.12814	1983.5710	34.12814	1979.4460	34.12814	1979.3030	
34.20266	1970.8400	34.20266	1970.7620	34.20266	1979.1420	
34.27718	1973.1430	34.27718	1982.2240	34.27718	1977.6310	
34.35169	1983.4700	34.35169	1981.4940	34.35169	1981.7290	
34.42621	1987.9280	34.42621	1986.8730	34.42621	1986.5270	
34.50072	1990.4290	34.50072	1978.1560	34.50072	1979.5510	
34.57524	1983.1420	34.57524	1983.1300	34.57524	1980.9570	
34.64975	1982.0870	34.64975	1988.1160	34.64975	1987.0400	
34.72427	1986.3460	34.72427	1981.8660	34.72427	1983.8630	
34.79879	1987.8860	34.79879	1988.4970	34.79879	1987.3590	
34.87330	1984.3190	34.87330	1992.0890	34.87330	1989.3970	
34.94782	1994.0910	34.94782	1991.3820	34.94782	1992.3840	
35.02233	1990.9500	35.02233	1986.9570	35.02233	1982.9270	
35.09685	1999.1550	35.09685	1994.3360	35.09685	1986.6290	
35.17136	1994.0730	35.17136	1994.4130	35.17136	1994.1870	
35.24588	1991.0750	35.24588	2000.4120	35.24588	1997.1700	
35.32039	1994.1420	35.32039	1993.8530	35.32039	1992.7680	
