0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
6.03576	2018.0940	6.03576	2014.1690	6.03576	2010.0000	
6.11028	2016.6340	6.11028	2003.8990	6.11028	2007.9670	
6.18479	2010.5900	6.18479	2004.8920	6.18479	1999.2830	
6.25931	2010.0830	6.25931	2007.6300	6.25931	1988.5420	
6.33383	2005.1870	6.33383	2006.9750	6.33383	1994.7170	
6.40834	1998.4330	6.40834	2008.1790	6.40834	1986.7420	
6.48286	1994.8990	6.48286	1998.3080	6.48286	1990.3030	
6.55737	1997.0510	6.55737	1999.3480	6.55737	1987.0400	
6.63189	1996.2910	6.63189	1989.4120	6.63189	1985.5470	
6.70640	1995.8260	6.70640	1980.9510	6.70640	1979.1630	
6.78092	1990.3450	6.78092	1982.2450	6.78092	1980.1320	
6.85544	1987.7820	6.85544	1980.9780	6.85544	1984.6530	
6.92995	1979.5270	6.92995	1980.5730	6.92995	1979.5090	
7.00447	1975.6500	7.00447	1982.9270	7.00447	1974.9610	
7.07898	1981.1480	7.07898	1978.2810	7.07898	1969.4240	
7.15350	1977.1810	7.15350	1974.3410	7.15350	1977.3780	
7.22801	1977.7860	7.22801	1974.9700	7.22801	1965.4100	
7.30253	1970.2050	7.30253	1975.2170	7.30253	1972.3800	
7.37704	1970.0860	7.37704	1962.4980	7.37704	1967.2720	
7.45156	1970.1180	7.45156	1962.5130	7.45156	1963.7790	
7.52608	1974.4990	7.52608	1970.9470	7.52608	1957.0290	
7.60059	1971.7250	7.60059	1964.7540	7.60059	1956.4510	
7.67511	1966.6880	7.67511	1959.1570	7.67511	1957.3930	
7.74962	1967.1290	7.74962	1958.0100	7.74962	1958.6560	
7.82414	1964.0060	7.82414	1952.8360	7.82414	1952.5500	
7.89865	1958.2510	7.89865	1954.2100	7.89865	1955.4530	
7.97317	1959.2050	7.97317	1957.2910	7.97317	1951.8350	
8.04768	1959.3950	8.04768	1953.6700	8.04768	1952.1860	
8.12220	1952.7260	8.12220	1960.2210	8.12220	1942.1960	
8.19672	1957.9560	8.19672	1959.7230	8.19672	1950.5200	
8.27123	1961.0400	8.27123	1953.4560	8.27123	1945.2690	
8.34575	1961.7170	8.34575	1950.9350	8.34575	1947.0990	
8.42026	1945.6620	8.42026	1953.6530	8.42026	1952.4430	
8.49478	1958.2600	8.49478	1944.2740	8.49478	1949.1700	
8.56929	1947.5580	8.56929	1950.8480	8.56929	1940.6940	
8.64381	1949.4470	8.64381	1947.4240	8.64381	1943.3950	
8.71833	1941.2310	8.71833	1942.3870	8.71833	1938.6380	
8.79284	1957.1100	8.79284	1935.3540	8.79284	1944.1370	
8.86736	1950.4130	8.86736	1947.5280	8.86736	1942.0090	
8.94187	1945.1500	8.94187	1936.4680	8.94187	1940.6170	
9.01639	1952.0670	9.01639	1934.6950	9.01639	1943.8000	
9.09090	1939.2100	9.09090	1936.3970	9.09090	1931.0680	
9.16542	1941.8870	9.16542	1942.9890	9.16542	1936.8080	
9.23993	1941.8060	9.23993	1940.9870	9.23993	1936.6620	
9.31445	1942.3190	9.31445	1938.9360	9.31445	1926.2340	
9.38897	1940.7090	9.38897	1932.1650	9.38897	1933.4470	
9.46348	1944.3090	9.46348	1933.7530	9.46348	1928.0020	
9.53800	1937.2880	9.53800	1932.9070	9.53800	1930.0580	
9.61251	1926.5770	9.61251	1930.4630	9.61251	1930.5530	
9.68703	1930.0370	9.68703	1929.6970	9.68703	1924.8930	
9.76154	1945.0750	9.76154	1925.2510	9.76154	1921.2600	
9.83606	1936.1560	9.83606	1935.7740	9.83606	1933.1250	
9.91057	1937.6720	9.91057	1926.3630	9.91057	1931.5870	
9.98509	1938.4500	9.98509	1928.8360	9.98509	1922.2170	
10.05961	1934.4900	10.05961	1924.0470	10.05961	1923.5220	
10.13412	1928.3150	10.13412	1927.9870	10.13412	1921.3650	
10.20864	1931.2770	10.20864	1921.4990	10.20864	1923.7700	
10.28315	1932.0670	10.28315	1918.3990	10.28315	1924.2910	
10.35767	1924.6850	10.35767	1922.0350	10.35767	1920.4620	
10.43218	1935.5300	10.43218	1925.7190	10.43218	1915.6720	
10.50670	1922.5840	10.50670	1928.2460	10.50670	1921.8680	
10.58122	1920.4500	10.58122	1916.4150	10.58122	1925.0630	
10.65573	1930.7460	10.65573	1915.1900	10.65573	1914.0210	
10.73025	1918.6260	10.73025	1921.1050	10.73025	1910.1860	
10.80476	1927.1370	10.80476	1916.7810	10.80476	1921.0550	
